"",".variable",".stat","Model 1"
"1","(Intercept)","Estimate","18.954"
"3","","t Value","2.364"
"4","","p Value","0.018"
"5","cgdppc","Estimate","0.000"
"7","","t Value","11.162"
"8","","p Value","0.000"
"9","christians_share","Estimate","-7.365"
"11","","t Value","-1.815"
"12","","p Value","0.070"
"13","jews_share","Estimate","-20.320"
"15","","t Value","-4.767"
"16","","p Value","0.000"
"17","muslims_share","Estimate","-12.570"
"19","","t Value","-3.108"
"20","","p Value","0.002"
"21","nonrelig_share","Estimate","-23.043"
"23","","t Value","-2.818"
"24","","p Value","0.005"
"25","hindus_share","Estimate","-26.023"
"27","","t Value","-2.845"
"28","","p Value","0.005"
"29","buddists_share","Estimate","2.462"
"31","","t Value","0.169"
"32","","p Value","0.866"
"33","folk_share","Estimate","-18.252"
"35","","t Value","-2.187"
"36","","p Value","0.029"
"37","other_share","Estimate","1.334"
"39","","t Value","0.359"
"40","","p Value","0.720"
"41","as.factor(continent)2","Estimate","-0.904"
"43","","t Value","-0.348"
"44","","p Value","0.728"
"45","as.factor(continent)3","Estimate","0.427"
"47","","t Value","0.238"
"48","","p Value","0.812"
"49","as.factor(continent)4","Estimate","1.152"
"51","","t Value","0.510"
"52","","p Value","0.611"
"53","as.factor(continent)5","Estimate","29.708"
"55","","t Value","16.405"
"56","","p Value","0.000"
"57","as.factor(continent)6","Estimate","-1.561"
"59","","t Value","-1.041"
"60","","p Value","0.298"
"61","as.factor(continent)7","Estimate","-4.961"
"63","","t Value","-2.014"
"64","","p Value","0.044"
"65","as.factor(continent)8","Estimate","7.610"
"67","","t Value","1.755"
"68","","p Value","0.080"
"69","as.factor(continent)9","Estimate","15.965"
"71","","t Value","6.141"
"72","","p Value","0.000"
"73","as.factor(continent)10","Estimate","-1.404"
"75","","t Value","-0.822"
"76","","p Value","0.411"
"77","as.factor(continent)11","Estimate","-18.247"
"79","","t Value","-0.986"
"80","","p Value","0.325"
"81","as.factor(continent)12","Estimate","9.724"
"83","","t Value","4.310"
"84","","p Value","0.000"
"85","as.factor(continent)13","Estimate","2.460"
"87","","t Value","1.135"
"88","","p Value","0.257"
"89","as.factor(continent)14","Estimate","4.785"
"91","","t Value","1.632"
"92","","p Value","0.103"
"93","as.factor(continent)15","Estimate","-9.351"
"95","","t Value","-0.607"
"96","","p Value","0.544"
"97","as.factor(continent)16","Estimate","-1.036"
"99","","t Value","-0.544"
"100","","p Value","0.587"
"101","as.factor(continent)17","Estimate","-4.385"
"103","","t Value","-2.119"
"104","","p Value","0.035"
"105","as.factor(continent)18","Estimate","1.500"
"107","","t Value","0.630"
"108","","p Value","0.529"
"109","as.factor(continent)19","Estimate","10.838"
"111","","t Value","6.490"
"112","","p Value","0.000"
"113","as.factor(continent)20","Estimate","1.931"
"115","","t Value","0.994"
"116","","p Value","0.321"
"117","","N","575"
"118","","R2","0.765"
"119","","adj R2","0.753"
"120","","AIC","3816.825"
